feature,accuracy,precision,recall,specificity,f1-score,AuROC
W-MemOffsetMode.MIN_REF-1000/svm/None,0.561990728422,0.561990728422,1.0,0.0,0.718877215841,0.5
W-MemOffsetMode.MIN_REF-1000/svm/std,0.559372586873,0.536072963761,0.8652436448,0.0526016467193,0.659154617568,0.45892264576
W-MemOffsetMode.MIN_REF-1000/rf/None,0.559726010199,0.77477124183,0.619199872286,0.778623832308,0.678337085191,0.698911852297
W-MemOffsetMode.MIN_REF-1000/rf/std,0.566828972724,0.827858083945,0.644472194472,0.805264852794,0.714063904632,0.724868523633
RW-MemOffsetMode.SUM_REF_ASC-5000/svm/None,0.592871464375,0.595073044914,0.92858974359,0.0758241758242,0.71789021164,0.502206959707
RW-MemOffsetMode.SUM_REF_ASC-5000/svm/std,0.590901340773,0.584220306459,0.942495662233,0.0309523809524,0.718886805474,0.486724021592
RW-MemOffsetMode.SUM_REF_ASC-5000/rf/None,0.590825845101,0.814730667883,0.61084133258,0.790674848887,0.691316579738,0.700758090734
RW-MemOffsetMode.SUM_REF_ASC-5000/rf/std,0.588329649248,0.774736495389,0.716405797101,0.701731601732,0.735073531669,0.709068699417
W-MemOffsetMode.MAX_REF-2000/svm/None,0.581910869252,0.560767877995,0.873684210526,0.0905263157895,0.679036564234,0.482105263158
W-MemOffsetMode.MAX_REF-2000/svm/std,0.577250310068,0.570900080604,0.974921630094,0.0,0.718888888889,0.487460815047
W-MemOffsetMode.MAX_REF-2000/rf/None,0.587069094304,0.781629318394,0.692577639752,0.722115384615,0.731097560976,0.707346512183
W-MemOffsetMode.MAX_REF-2000/rf/std,0.581002886003,0.823600668338,0.753167919799,0.774004753417,0.783473075627,0.763586336608
RW-MemOffsetMode.MAX_REF-1000/svm/None,0.500729165899,0.487653730696,0.948148148148,0.00714285714286,0.642011107994,0.477645502646
RW-MemOffsetMode.MAX_REF-1000/svm/std,0.497646906525,0.493021559624,0.981818181818,0.0,0.655504474891,0.490909090909
RW-MemOffsetMode.MAX_REF-1000/rf/None,0.497938531116,0.783631401278,0.604717987327,0.820848806366,0.67649168858,0.712783396846
RW-MemOffsetMode.MAX_REF-1000/rf/std,0.500866572653,0.848484848485,0.638593290767,0.879754534593,0.719884586958,0.75917391268
R-MemOffsetMode.MAX_REF-1000/svm/None,0.548627941895,0.532470312975,0.836714975845,0.113852813853,0.635363500284,0.475283894849
R-MemOffsetMode.MAX_REF-1000/svm/std,0.539520562984,0.539520562984,1.0,0.0,0.700156293175,0.5
R-MemOffsetMode.MAX_REF-1000/rf/None,0.543545986178,0.76253968254,0.638537346711,0.72362579082,0.680666666667,0.681081568766
R-MemOffsetMode.MAX_REF-1000/rf/std,0.538569092636,0.80974025974,0.60708141321,0.824632034632,0.678298936836,0.715856723921
W-MemOffsetMode.MEAN-5000/svm/None,0.616730855352,0.593153069153,0.908970588235,0.0,0.716574547168,0.454485294118
W-MemOffsetMode.MEAN-5000/svm/std,0.611156278229,0.602122507123,0.964761904762,0.0,0.733211076472,0.482380952381
W-MemOffsetMode.MEAN-5000/rf/None,0.616666666667,0.791583416583,0.57316280211,0.725854700855,0.64837227574,0.649508751482
W-MemOffsetMode.MEAN-5000/rf/std,0.610214424951,0.586070791953,0.509532163743,0.638636363636,0.536458808923,0.57408426369
W-MemOffsetMode.MAX_REF-1000/svm/None,0.558903280392,0.528291035494,0.9,0.0117647058824,0.657667467067,0.455882352941
W-MemOffsetMode.MAX_REF-1000/svm/std,0.559974707832,0.565789884156,0.977878787879,0.0440294117647,0.714084910491,0.510954099822
W-MemOffsetMode.MAX_REF-1000/rf/None,0.570712416219,0.804126984127,0.671955580651,0.780238095238,0.727945910071,0.726096837945
W-MemOffsetMode.MAX_REF-1000/rf/std,0.563978127136,0.829630598235,0.635559006211,0.824085213033,0.714514700904,0.729822109622
R-MemOffsetMode.MIN_REF-1000/svm/None,0.547631739669,0.642890568891,0.811304347826,0.2,0.601473871466,0.505652173913
R-MemOffsetMode.MIN_REF-1000/svm/std,0.537528244537,0.535295361438,0.973748609566,0.0174242424242,0.688647165042,0.495586425995
R-MemOffsetMode.MIN_REF-1000/rf/None,0.541759239059,0.771398852863,0.684523809524,0.757211011719,0.723815200499,0.720867410621
R-MemOffsetMode.MIN_REF-1000/rf/std,0.544132276989,0.749354524418,0.631112509995,0.725307750983,0.676714975845,0.678210130489
